TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-16 18:45:21,1771267521629,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,,production,main,MISS,middleware,/_middleware,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,9,iad1,252,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAZ43C5T030086J3J1NA2,DxGfEMbctmAJ,1
2026-02-16 18:45:21,1771267521629,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,11254,iad1,286,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAZ5670ZWXZX65HWYD6E4,vx2hfGUwb5dM,1
2026-02-16 18:45:13,1771267513228,app.dramacagency.com/api/purchases/status,GET,purchase_id=5e99c6c0-9550-4170-90a4-a3c910d03973,200,bl22t-1771267513228-63acaa5b2bf4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,6,lhr1,283,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAPZGSVTQVA0QY4HRZ9V1,3pJncRELGdln,1
2026-02-16 18:45:13,1771267513228,app.dramacagency.com/api/purchases/status,GET,purchase_id=5e99c6c0-9550-4170-90a4-a3c910d03973,200,bl22t-1771267513228-63acaa5b2bf4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/purchases/status,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,62,lhr1,447,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAQ4WNC1SPQKRAVXSAYCN,Bb0pcG6HOuhm,1
2026-02-16 18:45:10,1771267510247,app.dramacagency.com/api/purchases/status,GET,purchase_id=5e99c6c0-9550-4170-90a4-a3c910d03973,200,r5665-1771267510247-94b69b95bdb0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,8,lhr1,283,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAM219VWBR06Y5HWT0BDG,3pJncRELGdln,1
2026-02-16 18:45:10,1771267510247,app.dramacagency.com/api/purchases/status,GET,purchase_id=5e99c6c0-9550-4170-90a4-a3c910d03973,200,r5665-1771267510247-94b69b95bdb0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/purchases/status,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,2150,lhr1,445,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAM7JPYH3869QSH3S25RH,Bb0pcG6HOuhm,1
2026-02-16 18:45:05,1771267505267,app.dramacagency.com/api/purchases/status,GET,purchase_id=5e99c6c0-9550-4170-90a4-a3c910d03973,200,kgmb2-1771267505267-f6178dc401d6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/purchases/status,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,63,lhr1,457,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAFB8YZKNGBE2E1WNAJ51,wEu9kKkQpPJZ,1
2026-02-16 18:45:05,1771267505267,app.dramacagency.com/api/purchases/status,GET,purchase_id=5e99c6c0-9550-4170-90a4-a3c910d03973,200,kgmb2-1771267505267-f6178dc401d6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,7,lhr1,283,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAF64AW6864F8Y0PPQVC1,3pJncRELGdln,1
2026-02-16 18:45:01,1771267501363,app.dramacagency.com/dashboard/clients,GET,_rsc=oqfz4,200,bl22t-1771267501363-65fbee48a39f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,107,lhr1,283,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWAB9CM81JT8BB3PECBYK0,3pJncRELGdln,2
2026-02-16 18:45:01,1771267501363,app.dramacagency.com/dashboard/clients,GET,_rsc=oqfz4,200,bl22t-1771267501363-65fbee48a39f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/clients.rsc,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,16,iad1,338,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWABNNT8ZDZXJSQRQT93MN,en0RoWDyAqVc,1
